banglatalk,indic,whisper
0.9833,0.8158,0.5
0.9667,0.4412,0.3529
0.9833,0.6222,0.3778
0.9833,0.68,0.52
1.0,0.58,0.44
1.0,0.6,0.4839
0.9833,0.3529,0.3529
0.9833,0.9333,0.9333
0.95,0.9714,0.8286
0.9833,0.963,0.8889
1.0,1.0,1.0
0.9333,0.9302,0.907
1.0,0.9412,0.8824
0.9833,1.0,0.9688
0.9667,0.9032,0.871
0.95,0.9773,0.9773
0.9833,1.0,1.0
0.9333,0.9211,0.8684
0.9667,0.8667,0.7333
0.95,0.9474,0.9211
0.9833,0.9783,0.9565
0.9667,1.0,0.8387
0.95,1.0,0.9556
0.9833,1.0,0.9535
0.95,0.9545,0.9091
0.9265,0.9706,0.8529
0.95,0.96,0.8
0.9667,1.0,0.9444
1.0,1.0,1.0
0.9833,0.8,0.8571
1.0,0.8077,0.7692
0.9833,0.8367,0.5102
0.9667,0.8372,0.4651
0.9833,1.0,0.9091
1.0,0.8036,0.6491
1.0,0.8462,0.5385
0.9667,0.8824,0.9118
0.9833,0.7959,0.7143
0.95,0.7308,0.6538
0.9833,1.0,0.6667
0.9697,0.7273,0.5909
0.9667,0.6852,0.5926
0.9833,0.8333,0.75
0.9333,0.8182,0.6087
0.95,0.7551,0.6735
0.9333,0.8889,0.7407
0.9706,0.8088,0.7941
0.9667,0.8333,0.7037
0.9833,0.6,0.4545
0.95,0.7143,0.4865
0.95,0.7059,0.7059
0.95,0.8039,0.6154
0.95,0.7692,0.6154
0.9833,0.65,0.45
0.9667,0.8,0.6333
1.0,0.9333,0.8667
0.9857,0.8429,0.6
1.0,0.7692,0.9231
0.9437,0.7465,0.5775
0.9833,0.7778,0.6667
0.9855,0.7536,0.5362
0.987,0.8831,0.7532
0.9639,0.7952,0.6867
0.9362,0.6702,0.6283
0.9667,0.7917,0.7917
0.9494,0.8481,0.6835
0.9667,0.8125,0.5
0.9747,0.8101,0.6456
0.9667,0.6667,0.6667
0.9697,0.803,0.7424
0.9765,0.9176,0.7529
0.9851,0.8657,0.7463
0.9833,0.8,0.5
0.9833,0.9615,0.5769
0.9667,0.8519,0.6296
0.95,1.0,0.7273
0.9333,0.9722,0.6944
0.95,0.9773,0.9091
0.9833,0.871,0.7419
0.9667,0.9706,0.7647
0.9833,0.6316,0.7368
0.95,1.0,0.9524
0.9667,0.9333,0.6667
0.95,0.9143,0.5714
0.9833,0.9474,0.8421
0.9833,0.9655,0.6897
0.9667,0.8889,0.7037
0.9833,0.8611,0.8378
0.9833,0.9677,0.6774
0.9667,0.881,0.7143
0.9667,0.8571,0.75
0.95,0.9444,0.8611
0.95,0.9722,0.6944
0.9667,0.6842,0.7895
0.9667,0.8077,0.6154
0.9667,0.8837,0.5455
1.0,0.9667,0.6667
0.95,0.7812,0.6562
0.95,0.8919,0.7838
0.9667,0.9333,0.8235
0.9667,0.8333,0.7083
0.9667,0.7917,0.3542
0.9667,0.9,0.66
0.95,0.7917,0.375
0.9667,0.5385,0.3462
0.95,0.9302,0.6977
0.9833,0.9444,0.7895
0.95,0.931,0.6897
0.95,0.6585,0.6585
0.95,0.8605,0.7273
0.9833,0.8125,0.8125
0.9333,0.6875,0.4375
0.9667,0.9722,0.6944
0.9667,0.825,0.75
0.9667,0.9118,0.7353
0.9667,0.8519,0.6296
0.95,0.8529,0.7353
0.95,0.9459,0.8919
0.9833,0.8235,0.8235
0.9833,0.7333,0.6129
0.9333,0.95,1.0
0.9667,1.0,0.8276
0.95,1.0,0.8667
0.9833,0.9429,0.5143
0.9833,1.0,1.0
0.9833,0.975,1.0
0.9833,1.0,0.8158
0.9667,1.0,0.975
1.0,1.0,0.9362
1.0,1.0,1.0
1.0,1.0,0.9655
1.0,1.0,0.8333
1.0,1.0,0.8824
0.9833,0.9333,0.8667
0.9833,1.0,1.0
1.0,0.875,0.9062
0.9667,0.9811,0.8868
0.95,1.0,0.95
0.9667,0.9444,0.8333
1.0,0.9833,0.9333
0.95,0.9615,0.8269
0.9667,0.9804,0.9608
0.9667,1.0,1.0
0.9833,0.9429,0.9429
0.9833,1.0,0.9231
1.0,0.9492,0.8814
1.0,0.9184,0.898
1.0,0.9692,0.8308
0.9667,0.95,0.775
0.9667,0.7812,0.75
0.9833,0.9583,0.8542
0.9667,0.9048,0.8333
0.95,1.0,0.9231
0.9833,0.9184,0.8571
0.95,0.8529,0.8824
0.9667,1.0,1.0
0.9667,1.0,0.88
0.95,1.0,0.9048
0.9833,1.0,0.9773
0.9833,0.9722,0.9444
1.0,1.0,0.8889
1.0,1.0,0.9091
0.9833,1.0,0.8929
0.9667,0.9697,0.8788
0.9833,1.0,1.0
0.9333,0.9667,0.9667
0.9889,1.0,0.9333
0.967,1.0,0.967
0.9833,1.0,1.0
0.9833,1.0,0.8571
0.9833,1.0,1.0
0.9833,1.0,1.0
0.9833,1.0,0.8947
0.9333,0.8421,0.5789
0.9833,0.9643,0.9643
0.9833,1.0,1.0
0.9667,0.9773,0.9545
0.9667,1.0,0.9355
0.9833,1.0,0.9737
1.0,1.0,1.0
0.9833,1.0,0.9643
0.9833,1.0,0.9
0.9667,1.0,0.9231
0.9667,0.9583,0.875
0.9833,1.0,1.0
0.95,1.0,0.86
1.0,0.9667,0.9667
0.95,0.913,0.8261
0.9833,1.0,0.9333
1.0,1.0,1.0
0.95,1.0,0.9167
0.9833,1.0,1.0
0.9667,1.0,0.9216
0.9833,0.9608,0.9216
0.9333,1.0,0.875
0.9833,1.0,0.9737
1.0,1.0,0.963
0.9833,1.0,0.95
0.95,0.9412,0.9706
1.0,1.0,1.0
0.95,1.0,1.0
0.95,0.9821,0.9464
0.9833,1.0,1.0
0.95,0.9643,0.8929
0.9833,1.0,1.0
1.0,1.0,0.9375
0.95,0.9167,0.8333
1.0,0.9412,0.9412
0.9667,0.9583,1.0
0.9667,0.98,0.82
0.9667,0.9643,0.7143
0.9667,0.9512,0.9024
0.9667,1.0,0.875
1.0,1.0,1.0
0.95,0.95,0.8
0.9833,0.875,0.7188
0.95,1.0,0.9091
0.9667,1.0,0.9286
0.9667,1.0,0.8235
0.9833,1.0,0.8824
0.9667,0.9778,0.8222
0.971,0.942,0.7536
0.9667,1.0,0.6667
1.0,0.875,0.875
0.9667,0.9355,0.871
1.0,0.878,0.8049
0.9667,0.9756,0.9512
1.0,0.8205,0.8462
1.0,0.9756,0.9512
1.0,0.7826,0.7826
1.0,0.7812,0.375
1.0,0.4118,0.4706
1.0,0.8,0.5333
0.9833,0.8333,0.5667
1.0,0.9143,0.6286
0.9833,1.0,0.931
1.0,1.0,0.9787
1.0,1.0,0.898
0.9833,1.0,0.9062
1.0,0.8056,0.4722
0.974,0.974,0.9221
1.0,0.9841,0.8571
0.9833,0.9167,0.8611
1.0,1.0,0.9512
1.0,0.9143,0.8571
0.95,0.9231,0.75
0.9833,0.8519,0.5926
0.9833,0.9412,0.7353
0.9833,1.0,0.8966
1.0,0.8929,0.6071
0.9333,1.0,0.925
1.0,0.9722,0.9167
0.9833,0.95,0.9
1.0,0.9737,0.8421
1.0,0.8772,0.807
0.9833,1.0,0.6842
0.9833,1.0,0.9677
1.0,1.0,0.7407
0.9667,1.0,0.8966
0.9833,0.9216,0.9608
0.9667,0.8857,0.7143
1.0,0.8974,0.6923
1.0,1.0,0.8974
0.9833,0.825,0.75
0.9833,0.8571,0.8286
0.9833,0.8958,0.6875
0.9833,0.9744,0.6667
1.0,0.9375,0.75
0.9833,0.8235,0.4706
0.9667,1.0,0.9184
1.0,0.9649,0.7368
1.0,0.7647,0.5588
1.0,0.9118,0.7647
1.0,0.8305,0.7288
1.0,1.0,0.9333
1.0,0.8837,0.6744
1.0,0.8519,0.6667
1.0,1.0,0.8333
0.9833,0.8571,0.7714
1.0,0.8485,0.6061
1.0,0.96,0.9
0.9833,0.9268,0.7317
1.0,1.0,0.9524
1.0,0.9737,0.8947
1.0,0.9688,0.6719
1.0,0.9,0.7333
0.9833,0.9464,0.8393
1.0,0.9804,0.9608
0.9833,0.8421,0.7632
0.9833,0.8864,0.75
1.0,0.7353,0.5
1.0,0.9796,0.898
1.0,0.9412,0.8627
1.0,0.875,0.8333
1.0,1.0,0.75
1.0,1.0,0.8
0.9833,0.9444,0.5556
1.0,1.0,0.8214
1.0,0.8667,0.7667
1.0,0.9643,0.8571
1.0,0.9744,0.9231
0.9667,0.7222,0.7222
1.0,0.9706,0.8235
0.9667,0.7812,0.75
0.9833,1.0,0.8077
1.0,0.9706,0.8824
0.9667,0.9487,0.9487
0.9833,1.0,0.8621
0.9833,1.0,1.0
1.0,0.9524,0.9286
0.9833,0.9773,0.9545
1.0,0.9643,0.8929
0.9667,1.0,0.975
1.0,1.0,1.0
0.9833,1.0,0.9811
1.0,0.9118,0.7059
1.0,0.96,0.8
1.0,0.88,0.84
1.0,1.0,0.9259
1.0,0.9667,0.8
1.0,1.0,1.0
1.0,0.8,1.0
1.0,1.0,1.0
0.9833,1.0,0.9286
1.0,1.0,0.8667
1.0,0.963,0.6296
0.9833,0.9535,0.907
0.9833,0.9815,0.9444
0.9833,1.0,1.0
1.0,0.9333,0.6667
0.9667,0.9286,0.8929
0.9667,0.7419,0.6129
0.9833,0.74,0.58
0.9833,1.0,0.8889
0.9833,0.8431,0.7451
0.9833,0.9211,0.7105
1.0,0.8302,0.7358
1.0,0.7455,0.7273
0.9589,0.726,0.6027
1.0,0.7679,0.4464
0.9833,0.8148,0.7037
1.0,0.7049,0.6885
0.9706,0.7206,0.4118
1.0,0.8116,0.5362
1.0,0.6727,0.4727
0.9833,0.7843,0.6863
0.9863,0.8493,0.5753
0.95,0.9592,0.7755
0.9833,0.9474,0.8772
1.0,0.9608,0.7255
0.9833,0.9804,0.6471
1.0,0.8696,0.7391
0.9833,0.9032,0.871
0.9833,0.8824,0.7059
0.9667,0.9268,0.7561
0.9833,0.8491,0.7547
1.0,0.9388,0.7347
0.9833,0.8776,0.6531
0.9833,0.8909,0.8182
0.9667,0.7805,0.5854
0.9833,0.8222,0.6889
0.9667,0.9167,0.9792
0.9667,0.9773,0.75
0.9552,0.9851,0.9701
0.95,0.9767,0.9302
0.9833,1.0,0.9231
0.9833,0.7609,0.5652
0.9667,0.9636,0.9636
0.9667,1.0,0.8947
0.9667,1.0,0.9375
0.9844,0.875,0.6719
0.9667,1.0,0.7647
0.9833,0.9762,0.8095
0.95,0.9574,0.8723
0.9833,0.5641,0.5897
0.95,0.825,0.55
0.9833,0.9524,0.8095
1.0,1.0,0.6667
0.9833,0.8718,0.7179
1.0,0.8571,0.68
1.0,0.9464,0.6964
0.9833,1.0,0.8085
0.9833,1.0,0.78
0.971,0.8116,0.7101
0.9667,0.8431,0.6154
0.9848,0.8939,0.7879
0.9833,0.9492,0.8475
0.9667,0.875,0.925
